geometry,amenity
POINT (-87.6778642 41.9030257),restaurant
POINT (-87.672654 41.9031088),restaurant
POINT (-87.6720505 41.9031028),bar
POINT (-87.6702749 41.9034821),bar
POINT (-87.6676383 41.9004836),restaurant
POINT (-87.6629342 41.8963372),bar
POINT (-87.6668569 41.8962244),restaurant
POINT (-87.6866638 41.8972953),bar
POINT (-87.6853111 41.910214),restaurant
POINT (-87.68575 41.9104695),restaurant
POINT (-87.6881071 41.9101455),restaurant
POINT (-87.6872335 41.918645),cafe
POINT (-87.687387 41.9227873),restaurant
POINT (-87.6877914 41.9226026),restaurant
POINT (-87.6877992 41.9222677),bar
POINT (-87.6215023 41.8927469),restaurant
POINT (-87.6222426 41.8927269),restaurant
POINT (-87.627613 41.8997553),bar
POINT (-87.6520069 41.8865946),restaurant
POINT (-87.6520185 41.8864563),bar
POINT (-87.6175766 41.8933007),cafe
POINT (-87.617051 41.8906336),restaurant
POINT (-87.6273558 41.8910524),restaurant
POINT (-87.6309133 41.8906926),restaurant
POINT (-87.630916 41.8906247),restaurant
POINT (-87.6309213 41.8905369),restaurant
POINT (-87.6471083 41.8910574),bar
POINT (-87.6470004 41.8910436),bar
POINT (-87.6468381 41.8910439),restaurant
POINT (-87.6448653 41.8896009),bar
POINT (-87.6777415 41.9150958),restaurant
POINT (-87.6778131 41.9176357),bar
POINT (-87.6773235 41.9137424),restaurant
POINT (-87.703187 41.9023107),
POINT (-87.6220889 41.857775),cafe
POINT (-87.6870717 41.9158148),restaurant
POINT (-87.703649 41.917563),restaurant
POINT (-87.7070256 41.9107207),restaurant
POINT (-87.7134735 41.9098615),restaurant
POINT (-87.6244867 41.8913956),restaurant
POINT (-87.6670559 41.8975839),cafe
POINT (-87.6287477 41.8870489),bar
POINT (-87.6266247 41.895043),cafe
POINT (-87.6554969 41.8961397),cafe
POINT (-87.6429407 41.9294697),restaurant
POINT (-87.7174228 41.9345296),bar
POINT (-87.7174148 41.93435),bar
POINT (-87.7219538 41.9354831),bar
POINT (-87.60102 41.789142),
POINT (-87.7185896 41.9247459),restaurant
POINT (-87.7187854 41.9247518),restaurant
POINT (-87.71325 41.9937797),restaurant
POINT (-87.6605436 41.9883935),restaurant
POINT (-87.6172594 41.8948585),cafe
POINT (-87.7159408 41.9247881),restaurant
POINT (-87.6251872 41.8911753),bar
POINT (-87.7124643 41.9316589),restaurant
POINT (-87.7128675 41.9325547),restaurant
POINT (-87.7116144 41.9390535),restaurant
POINT (-87.7037961 41.9394729),restaurant
POINT (-87.7034485 41.9392432),bar
POINT (-87.6976471 41.9392689),restaurant
POINT (-87.6766755 41.9097007),restaurant
POINT (-87.6761995 41.9094091),bar
POINT (-87.6722879 41.9072414),restaurant
POINT (-87.6719887 41.9071907),restaurant
POINT (-87.6705844 41.905826),bar
POINT (-87.66105 41.8996737),
POINT (-87.6662514 41.9030503),restaurant
POINT (-87.6649962 41.9022238),restaurant
POINT (-87.6877546 41.9101411),restaurant
POINT (-87.7064642 41.9447791),restaurant
POINT (-87.6771901 41.9062101),restaurant
POINT (-87.6774662 41.9048848),restaurant
POINT (-87.6779484 41.9088352),restaurant
POINT (-87.6753699 41.9106779),restaurant
POINT (-87.6746901 41.9106544),restaurant
POINT (-87.6724275 41.9106839),cafe
POINT (-87.6793224 41.9103408),restaurant
POINT (-87.6784624 41.9111767),restaurant
POINT (-87.6773351 41.9109478),restaurant
POINT (-87.6773378 41.9110097),restaurant
POINT (-87.7389326 41.9315048),restaurant
POINT (-87.7390777 41.9317654),restaurant
POINT (-87.7122744 41.9248341),restaurant
POINT (-87.70471 41.9175442),restaurant
POINT (-87.698441 41.9176017),restaurant
POINT (-87.6938521 41.9100888),bar
POINT (-87.6927745 41.910114),cafe
POINT (-87.6700847 41.9031435),cafe
POINT (-87.6716776 41.9034404),restaurant
POINT (-87.6739765 41.9034133),restaurant
POINT (-87.6758709 41.9033714),restaurant
POINT (-87.6759919 41.9033759),restaurant
POINT (-87.6768288 41.9029591),restaurant
POINT (-87.6907513 41.9101275),restaurant
POINT (-87.7073132 41.9540962),bar
POINT (-87.6250576 41.8973289),
POINT (-87.624786 41.8965127),restaurant
POINT (-87.6234418 41.8918935),cafe
POINT (-87.6232272 41.8924171),restaurant
POINT (-87.6232272 41.8923449),bar
POINT (-87.687063 41.9250279),restaurant
POINT (-87.6874761 41.9257822),restaurant
POINT (-87.7006028 41.9055766),cafe
POINT (-87.7013592 41.9103602),restaurant
POINT (-87.703029 41.9103428),bar
POINT (-87.6756709 41.8960881),restaurant
POINT (-87.6997541 42.0191667),restaurant
POINT (-87.6245139 41.8742073),
POINT (-87.6235979 41.8826848),restaurant
POINT (-87.688861 41.997617),restaurant
POINT (-87.686974 41.99769),bar
POINT (-87.6733021 41.968987),restaurant
POINT (-87.7959941 41.9835968),
POINT (-87.686894 41.997996),restaurant
POINT (-87.687063 41.997673),restaurant
POINT (-87.6356904 41.8830851),restaurant
POINT (-87.7035762 41.9319324),cafe
POINT (-87.687933 41.997875),restaurant
POINT (-87.701037 41.9319622),restaurant
POINT (-87.6988885 41.924249),bar
POINT (-87.6994251 41.9246316),cafe
POINT (-87.7141145 41.8849621),restaurant
POINT (-87.6056136 41.779856),bar
POINT (-87.7016774 41.9254204),bar
POINT (-87.6931999 41.9320068),restaurant
POINT (-87.6925875 41.9322534),restaurant
POINT (-87.6886082 41.9320502),restaurant
POINT (-87.6876711 41.931905),restaurant
POINT (-87.6788359 41.9215071),bar
POINT (-87.6828391 41.9220332),bar
POINT (-87.6096524 41.6855823),cafe
POINT (-87.7134416 41.9244787),bar
POINT (-87.7135275 41.9244837),restaurant
POINT (-87.7140036 41.9243665),restaurant
POINT (-87.7136872 41.8849162),bar
POINT (-87.6902194 41.9247152),restaurant
POINT (-87.7262185 41.9410645),bar
POINT (-87.6685596 41.9766514),restaurant
POINT (-87.6606609 41.9920166),bar
POINT (-87.6605743 41.9894323),bar
POINT (-87.6606229 41.9929869),restaurant
POINT (-87.6728839 41.8958379),restaurant
POINT (-87.6774089 41.8788941),restaurant
POINT (-87.6259049 41.8897038),restaurant
POINT (-87.6212705 41.8897262),cafe
POINT (-87.624376 41.867869),restaurant
POINT (-87.6708525 41.8578685),restaurant
POINT (-87.628503 41.9022222),restaurant
POINT (-87.6336681 41.8847468),bar
POINT (-87.6786069 41.9545863),bar
POINT (-87.6337936 41.8858587),restaurant
POINT (-87.7486367 41.9543845),
POINT (-87.7487651 41.9540976),restaurant
POINT (-87.6787441 41.9958368),
POINT (-87.7170992 41.9969065),restaurant
POINT (-87.698579 41.917355),restaurant
POINT (-87.6283042 41.9027749),restaurant
POINT (-87.6972582 41.9135894),restaurant
POINT (-87.6455687 41.9233231),bar
POINT (-87.6454858 41.9232814),bar
POINT (-87.6650564 41.9368582),restaurant
POINT (-87.6491944 41.929524),bar
POINT (-87.6255876 41.892983),bar
POINT (-87.6265031 41.8942846),
POINT (-87.6669218 41.9669571),bar
POINT (-87.7074829 41.9172859),restaurant
POINT (-87.6574498 41.8578003),restaurant
POINT (-87.648856 41.886615),restaurant
POINT (-87.6519538 41.8845767),cafe
POINT (-87.6517618 41.8841155),restaurant
POINT (-87.6519107 41.8840813),cafe
